journal,abbreviation
Die Steuerberatung,Stbg
Steuerberater-Jahrbuch,StbJb
Die steuerliche Betriebsprüfung,StBp
SteuerConsultant,StC
Steuern der Energiewirtschaft : StE,StE
Steuer-Eildienst : StEd,StEd
Steueranwaltsmagazin,""
Steuer + Studium,SteuerStud
Streit,Streit
StrafRechtsReport,StRR
StuB - Unternehmenssteuern und Bilanzen,StuB
Die Steuer-Warte,StW
Steuer-Telex,StX
Südosteuropa-Mitteilungen,Südosteuropa-Mitt
Straßenverkehrsrecht. Zs für die Praxis des Verkehrsjuristen,SVR
Schweizerische Zeitschrift für internationales und europäisches Recht,SZIER
Schweizerische Zeitschrift für Wirtschafts- und Finanzmarktrecht,SZW
"Archiv für Urheber-,Film-,Funk- und Theaterrecht",UFITA
Umwelt- und Planungsrecht,UPR
Umsatzsteuer- und Verkehrssteuer-Recht,UVR
Verkehrsrecht aktuell,VA
Verkehrsdienst,VD
Mitteilungen / Vereinigung für Deutsch-Russisches Wirtschaftsrecht,VDRW-Mitteilungen
Der Verkehrsanwalt,VerkA
Der Verkehrsjurist,Verkehrsjurist
Verkehrsrechtliche Mitteilungen,VerkMitt
Versicherungspraxis,VersPrax
Versicherungsrecht / Beilage Ausland,VersRAI
Vierteljahrshefte für Zeitgeschichte,VfZ
Versicherung und Recht kompakt,VK
Verkehrsunfall und Fahrzeugtechnik,VKU
Verwaltung & Management,VM
Der Vollzugsdienst,VollzD
Rundbrief VPP,VPP-Rundbrief
Verkehrsrechtsreport,VRR
Wirtschaftsrechtliche Blätter,wbl
Wertermittlungsforum,WF
