"journal_title","item_cnt"
Psychotherapeut,1
Public Administration,2
Public Administration Review,4
Public Management Review,2
Public Policy and Administration,2
Public Relations Review,1
PubMed,4
Pustet eBooks,1
Puttkammer & Mühlbrecht eBooks,1
Quellen und Forschungen aus italienischen Archiven und Bibliotheken,1
RAND Corporation eBooks,2
Random House eBooks,1
Ratio Juris,6
Recueil Dalloz,1
Redescriptions Political Thought Conceptual History and Feminist Theory,1
Refugee Survey Quarterly,1
Reimar Hobbing eBooks,1
Renaissance and Reformation,1
RePEc: Research Papers in Economics,23
Report,1
Research Evaluation,1
Research in criminology,1
Review of European Community & International Environmental Law,2
Review of Financial Studies,2
Review of International Political Economy,1
Review of International Studies,2
Review of Philosophy and Psychology,1
Review of Political Economy,1
Revista Brasileira de Direitos Fundamentais & Justiça,1
Revista Brasileira de Política Internacional,1
Revista Eletrônica de Direito Processual,1
Revista Española de Derecho Constitucional,2
Revista Española de Derecho Internacional,1
Revista española de la opinión pública,1
Revue du Nord,1
R. Habelt eBooks,1
Richard Boorberg Verlag GmbH & Co KG eBooks,1
Risk Analysis,1
Rotbuch Verlag eBooks,1
Routledge eBooks,38
Rowohlt eBooks,1
R. Piper eBooks,1
Rudolf Haufe eBooks,1
SAGE Publications Ltd eBooks,2
Sansoni eBooks,1
Scandinavian Journal of Economics,1
Schäffer-Poeschel eBooks,1
Schmalenbach Journal of Business Research,2
Schriften des Zentralinstituts für Sozialwissenschaftliche Forschung der Freien Universität Berlin,1
Schriftenreihe der Deutschen Universität für Verwaltungswissenschaften Speyer,1
Schriftenreihe der Hochschule Speyer,1
Schriften zum deutschen und europäischen Infrastrukturrecht,1
Schriften zum europäischen Recht,5
Schriften zum internationalen Recht,1
Schriften zum öffentlichen Recht,24
Schriften zum Strafrecht,1
Schriften zum Umweltrecht,1
Schriften zur Rechtsgeschichte,1
Schriften zur Rechtstheorie,3
Schulthess eBooks,2
Schwartz eBooks,1
Science,1
Science and Engineering Ethics,1
Scientia Verlag eBooks,1
Security and Human Rights,1
Security Dialogue,2
Seizure,2
Serials Review,1
Signs,1
Singapore Academy of Law journal,1
Small Wars and Insurgencies,1
Social Choice and Welfare,1
Social Cognition,1
Social Forces,1
Social History,1
Social Justice A Journal of Crime Conflict & World Order,1
Social & Legal Studies,1
Social Politics International Studies in Gender State & Society,3
Social Problems,3
Social Psychology,1
Société de législation comparée eBooks,1
Society,1
Socio-Economic Review,2
Sociological Analysis,1
Sociologicky Casopis-czech Sociological Review,1
South African Law Journal,1
South Atlantic Quarterly,1
Soziale Welt,1
Sozialtheorie,1
Sozialwissenschaftliche Abhandlungen der Görres-Gesellschaft,1
Spain arbitration review: revista del Club Español del Arbitraje,1
Speculum,1
Springer eBooks,65
Springer-Lehrbuch,10
Springers Handbücher der Rechtswissenschaft,1
Springers Kurzlehrbücher der Rechtswissenschaft,4
SSRN Electronic Journal,116
Staatsverlag der Deutschen Demokratischen Republik eBooks,1
Stahel eBooks,1
Stanford Law Review,6
Stanford University Press eBooks,3
"Statistical papers - United Nations. Series A, Population and vital statistics report",1
Steinkopff eBooks,1
Studia Europaea Gnesnensia,1
Studia Slavica,1
Studien zum vergleichenden öffentlichen Recht,1
Studien zu Umweltökonomie und Umweltpolitik,1
Studies in Business and Economics,1
Studi parlamentari e di politica costituzionale,1
"Studi Urbinati, A - Scienze giuridiche, politiche ed economiche",1
Suhrkamp eBooks,23
Suhrkamp Verlag eBooks,1
Supreme Court Economic Review,1
Sweet & Maxwell eBooks,1
Swiss Political Science Review,1
Syndikat eBooks,1
Synlett,1
Synthesis,1
Taylor & Francis eBooks,1
Technology and Culture,2
Tectum eBooks,1
Telecommunications Policy,1
Telos,1
Texas law review,2
Texte zur Rechtspolitik,1
The Accounting Review,2
The American Catholic Sociological Review,1
The American Historical Review,11
The American Journal of Comparative Law,16
The American Journal of Jurisprudence,1
"The American University journal of gender, social policy & the law",1
The Annals of the American Academy of Political and Social Science,2
The British Journal of Criminology,1
The Cambridge Law Journal,2
The Canadian Journal of Sociology,1
The Chinese Journal of International Politics,1
The Classical Quarterly,1
The Classical World,4
The conveyancer & property lawyer/Conveyancer & property lawyer,1
The Economic History Review,2
The Economic Journal,5
The Economists Voice,1
The English Historical Review,1
The Fordham urban law journal/Fordham urban law journal,1
The Georgetown law journal,1
The Georgia Journal of International and Comparative Law,1
The Hague Journal of Diplomacy,1
The International Journal of Human Resource Management,1
The International Journal of Human Rights,2
The Journal of Asian Studies,1
The Journal of Business,1
The Journal of corporation law,1
