"author_id","author_name","institution_id","inst_name","num_articles","min_pubyear","max_pubyear","journals"
A5028963384,Christoph Klahold,I71830129,ThyssenKrupp (Germany),1,2010,2010,{ZGR}
A5028993215,Monika Frommel,I114112103,Leibniz University Hannover,1,2000,2000,{KJ}
A5028993215,Monika Frommel,I2801702882,WZB Berlin Social Science Center,1,1994,1994,{KJ}
A5028993215,Monika Frommel,I2968483793,Visma (Norway),1,1996,1996,{KJ}
A5028993215,Monika Frommel,I32021983,Kiel University,1,2000,2000,"{KJ,KJ}"
A5028993215,Monika Frommel,I4210105290,Ärztliche Gesellschaft zur Gesundheitsförderung e.V,1,1992,1992,{KJ}
A5028993215,Monika Frommel,I4210160619,"Federal Ministry for Family Affairs, Senior Citizens, Women and Youth",1,2000,2000,"{KJ,KJ}"
A5029007311,Karlheinz Muscheler,I904495901,Ruhr University Bochum,1,2013,2013,{JURA}
A5029025701,Henner Hess,I103737770,Bank of Italy,1,1994,1994,{KJ}
A5029036364,Hans Joachim Hirsch,I4210139259,LVR-Klinik Köln,1,2004,2004,{ZStW}
A5029109552,Thomas Höll,I4210154893,Altrecht GGZ,1,2009,2009,{JR}
A5029136490,Alexander Krey,I4210123225,Ruhr West University of Applied Sciences,1,2021,2021,{ZRG}
A5029171731,Matthias Friehe,I161103922,Philipps University of Marburg,1,2017,2017,{JURA}
A5029187145,Anna-Luisa Lemmerz,I4210112296,Max Planck Institute for Comparative and International Private Law,1,2011,2011,{JURA}
A5029187145,Anna-Luisa Lemmerz,I90523175,Bucerius Law School,3,2011,2014,"{JURA,JURA,JURA}"
A5029215193,Andreas Popp,I120691247,University of Hagen,1,2012,2012,{JURA}
A5029215193,Andreas Popp,I186354981,University of Passau,3,2006,2014,"{JR,ZStW,JR}"
A5029215193,Andreas Popp,I189712700,University of Konstanz,1,2018,2018,{JR}
A5029215193,Andreas Popp,I39343248,Humboldt-Universität zu Berlin,1,2014,2014,{JR}
A5029223998,Karl August Prinz von Sachsen Gessaphe,I120691247,University of Hagen,1,2012,2012,{JURA}
A5029244789,Luísa Schmidt,I926574661,Leipzig University,1,2023,2023,{JURA}
A5029258929,Simon Schwarz,I149899117,Max Planck Society,2,2003,2007,"{RabelsZ,RabelsZ}"
A5029258929,Simon Schwarz,I4210112296,Max Planck Institute for Comparative and International Private Law,2,2003,2007,"{RabelsZ,RabelsZ}"
A5029262112,Torben Götz,I44260953,Heinrich Heine University Düsseldorf,1,2013,2013,{JR}
A5029275840,Gunter Wesener,I285663978,Weatherford College,1,2006,2006,{ZRG}
