"abk","citing_pubyear","count"
JZ,1987,1
CR,2015,56
AcP,2018,85
JR,2009,105
AG,2012,16
JURA,2015,34
AcP,2013,24
ZRG,1931,60
ZStW,1955,2
ZStW,1987,13
ZRG,1915,2
ZGR,2009,68
ZStW,2006,42
AöR,1999,4
JZ,1992,1
ZRG,1894,1
ZStW,1999,20
BB,2006,4
JURA,2011,13
ZRP,2001,1
AG,2019,24
DVBI,1991,1
ZZP,2002,1
JR,1995,78
Staat,2019,75
ZRG,2016,369
AcP,1997,7
KJ,2014,89
DVBI,2003,3
RdA,1979,1
KJ,2002,71
ZGR,2022,114
ZStW,2002,50
KritV,1999,1
ZRG,1954,4
JuS,2015,3
KJ,1993,77
JR,1949,32
MDR,2022,23
AcP,2003,16
StV,2009,4
JuS,2009,2
ZRG,2019,729
ZRG,1958,7
ZRG,1898,1
ZGR,2014,54
RabelsZ,2006,8
MDR,2004,1
AöR,1991,3
NStZ,2017,18
JR,2004,71
JR,1978,78
KritV,2022,28
EuR,2017,71
ZStW,2013,102
ZStW,2014,104
AcP,2021,89
ZStW,1984,5
ZRG,1983,24
KJ,1970,44
AöR,2005,12
BB,2021,1
AcP,1986,1
AG,2009,14
ZGR,1981,2
AVR,2021,71
ZRG,1950,58
KritV,2015,27
KritV,2012,49
ZRG,1928,4
AVR,2001,1
ZGR,1979,1
AöR,2014,66
KJ,2001,64
JR,1977,73
JR,1985,105
ZRG,2010,242
JR,1994,87
ZRG,1966,446
JR,1999,68
CR,2007,16
ZRP,2013,3
ZStW,1995,20
JR,1888,1
AcP,2015,28
KJ,1916,1
Verw,2018,44
JR,1974,97
StV,2015,8
JURA,2024,16
DVBI,2004,11
ZRG,1973,7
ZGR,1983,5
AG,2016,8
ZRP,2004,1
ZStW,1933,1
BB,2016,3
StV,2023,12
KJ,2006,50
ZStW,1957,3
ZGR,1988,19
JR,1948,18
ZRG,1955,29
JR,2008,125
JZ,2009,108
AöR,2013,66
CR,2011,19
ZStW,1935,1
JURA,2010,17
JR,1986,99
Staat,1963,1
JR,2003,85
JR,2017,267
ZStW,2023,231
JR,1943,12
ZRG,2011,530
CR,2014,42
KritV,2013,38
ZRP,2017,16
ZStW,1960,1
