"journal_name","doi","openalex_id","pubyear","pubyear_openalex","author_cnt","author_cnt_openalex","publisher","publisher_openalex","inst_count_openalex","citations_count"
JZ,"10.1628/002268810791871406",W2042157875,2010,2010,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
AöR,"10.1628/000389114X14018747845762",W4236378960,2014,2014,0,0,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/002268818X15191241311385",W4252727821,2018,2018,0,0,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/jz-2010-0052",W4230541257,2010,2010,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
AcP,"10.1628/acp-2020-0016",W4250172582,2020,2020,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/jz-2021-0285",W3201222122,2021,2021,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
RabelsZ,"10.1628/003372511795316881",W2145592856,2011,2011,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/002268811798217909",W2077719400,2011,2011,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/002268812801325066",W1979559704,2012,2012,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,1
KJ,"10.5771/0023-4834-1969-1-99",W3166408479,1969,1969,1,0,Nomos Verlagsgesellschaft mbH & Co. KG,Nomos,0,0
RabelsZ,"10.1628/0033725024123198",W2756673603,2002,2018,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
