"alternativeTitle","id","issn","otherTitleInformation","shortTitle","title"
,"http://lobid.org/resources/990102529490206441#!","0936689X","Verkündigungsblatt der Bundesnotarkammer",,"Deutsche Notar-Zeitschrift, Bayerische Beilage zur deutschen Notar-Zeitschrift / Hrsg.: Bayer. Notarverein im BNSDJ e.V"
"Das Jahrbuch für Verwaltungsmodernisierung in Deutschland; das Jahrbuch für Deutschland ( Zusatz 6.2002/03 )","http://lobid.org/resources/990118188020206441#!","14350688","das Jahrbuch für Verwaltungsmodernisierung in Deutschland ...",,"Monitoring eGovernment"
"Statistische Berichte des Bayerischen Landesamts für Statistik und Datenverarbeitung ( Hauptsacht. bis 2002 )","http://lobid.org/resources/990102797420206441#!","14303272 14303272",,,"Statistische Berichte / Bayerisches Landesamt für Statistik und Datenverarbeitung, L. II. 2. LII7: Gemeindefinanzen und Realsteuervergleich in Bayern ... : Ergebnisse der vierteljährlichen Kassenstatistik"
,"http://lobid.org/resources/990108697000206441#!","18634206","das komplette Marken-Verzeichnis für Deutschland ; Verzeichnis aller in der Bundesrepublik Deutschland veröffentlichten gültigen deutschen Marken und der veröffentlichten noch offenen Anmeldungen, der IR-Marken und der veröffentlichten Gemeinschaftsmarken",,"Marken-Lexikon, Wortmarkenlexikon"
,"http://lobid.org/resources/990119314860206441#!","21955263 21955263",,,"Nachrichtenblatt des Ministeriums für Bildung, Wissenschaft, Forschung und Kultur des Landes Schleswig-Holstein, Schule"
"SF","http://lobid.org/resources/990107511130206441#!","16616715","SF ; Schweizer Fachzeitschrift für Sicherheit",,"Sicherheits-Forum"
"Handbuch ( Nebent. teils )","http://lobid.org/resources/990054418410206441#!","09356096","für das Geschäftsjahr ...",,"Handbuch des Bundesrates"
,"http://lobid.org/resources/990134297570206441#!","16153480",,,"Statistische Berichte Niedersachsen, D. III. 1: Insolvenzverfahren"
,"http://lobid.org/resources/990054860120206441#!","04694333 04694333","AP, Arbeitsrechtliche Praxis : die Rechtsprechung des Bundesarbeitsgerichts und die arbeitsrechtlich bedeutsamen Entscheidungen anderer Gerichte mit erläuternden Anmerkungen",,"Nachschlagewerk des Bundesarbeitsgerichts"
,"http://lobid.org/resources/990053842380206441#!","09363718",,,"Münchener Beiträge zur Papyrusforschung und antiken Rechtsgeschichte"
"Juris-PraxisReport / Privates Baurecht; PraxisReport / Privates Baurecht; Juris-Praxis-Report; jurisPR-PrivBauR","http://lobid.org/resources/990166914290206441#!","18634729 18634729",,,"Juris-PraxisReport, Privates Baurecht"
"Rg; Zeitschrift des Max-Planck-Instituts für Europäische Rechtsgeschichte und Rechtstheorie","http://lobid.org/resources/990117717600206441#!","16194993 16194993","Rg ; Zeitschrift des Max-Planck-Instituts für Rechtsgeschichte und Rechtstheorie = Legal history",,"Rechtsgeschichte"
"Alphabetisches Sachregister und Dokumentarverzeichnis; Register zum Amtsblatt der Europäischen Gemeinschaften / Monatsregister; Dokumentarverzeichnis ( Sachl. Benennung der UR 1974 ); Alphabetisches Sachregister und Dokumentarverzeichnis ( Sachliche Benennung der UR 1976-1977 )","http://lobid.org/resources/990056410220206441#!","02506688","Ausg. in deutscher Sprache",,"Amtsblatt der Europäischen Gemeinschaften, Monatsregister L C: alphabetisch und methodologisch"
"Mitteilungen des Bundes der Ruhestandsbeamten und Hinterbliebenen (BRH) und seiner Mitgliedsverbände; Mitteilungsblatt des Allgemeinen Beamtenschutzbundes","http://lobid.org/resources/990055740020206441#!","03431193","Zeitschr. für Ruhestandsbeamte u. Beamtenwitwen ; Zentralorgan d. Bundes der Ruhestandsbeamten und Hinterbliebenen (BRH) im Deutschen Beamtenbund",,"Der Beamte im Ruhestand"
"Polizeiliche Kriminalstatistik","http://lobid.org/resources/990054193900206441#!","04046137",,,"Polizeiliche Kriminalstatistik des Landes Baden-Württemberg, [Jahresausgabe]"
"Gemeindenachrichten; Amtliches Mitteilungsblatt der Gemeinde Oerlenbach; Gemeinde-Nachrichten / Extrablatt","http://lobid.org/resources/990102684640206441#!","18658083","amtliches Mitteilungsblatt der Gemeinde Oerlenbach",,"Gemeinde-Nachrichten"
