title,issn,alternativeTitle
Handbuch zur Umsatzsteuer,01712330,USt; Schriften des Deutschen Wissenschaftlichen Steuerinstituts der Steuerberater und Steuerbevollmächtigten e.V. / Handbuch zur Umsatzsteuer; Schriften des Deutschen Wissenschaftlichen Steuerinstituts der Steuerberater e.V. / Handbuch zur Umsatzsteuer; Schriften des Deutschen Wissenschaftlichen Instituts der Steuerberater e.V. / Handbuch zur Umsatzsteuer; Handbuch zur Umsatzsteuerveranlagung ( Nebent. 15.1977 )
Ortsschelle,1865813X,Amtsblatt des Marktes Burkardardroth; Die Ortsschelle des Marktes Burkardroth
Aktuelles aus dem Steuer- und Wirtschaftsrecht,"18606431,18606431",AStW
"Amts- und Verkündigungsblatt für Mosbach & Neudenau, Eberbach, Adelsheim etc",27005410,"Amtsblatt für Mosbach und Neudenau, Eberbach, Adelsheim etc ( Hauptsacht. anfangs )"
Deutsche Steuer-Zeitung,"21958971,21958971",DStZ
Sammlung der hochfürstlich-würzburgischen Landesverordnungen,"27495663,27495663","Sammlung der hochfürstlich-wirzburgischen Landesverordnungen : welche in geist- u. weltlichen, Justiz-, Landgerichts-, criminal-, Polizey-, cameral-, Jagd-, Forst- und anderen Sachen ... verkündet worden sind ( Hauptsacht. anfangs ); Fürstbischöflich Würzburgische Landesverordnungen ( Hauptsacht. d. Nachtr. 1800/03 )"
Verwaltungsbericht der Stadt Rheydt,"04828771,04828771",
VB VereinsBrief,"23644990,18626718,23644990,18626718","Vereins-Brief; VB; Steuern, Buchführung, Recht; Steuern, Recht, Vereinsmanagement ; der Informationsdienst für; Steuern, Recht, Management im Verein; VereinsBrief ( Hauptsacht. bis 2014,6 )"
Magazin,1437997X,VBOB-Magazin; Zeitschrift des Verbandes der Beschäftigten der obersten und oberen Bundesbehörden im DBB; mit DBB-Seiten; die Bundesverwaltung ( 1. Zusatz anfangs ); VBOB-Magazin ( Haupttitel teils )
Leipziger Schriften zum Umwelt- und Planungsrecht,"18634133,18634133",
"Software-Führer öffentliche Verwaltung, öffentliche Unternehmen",09383816,Software-Führer
Forschungen zur Kriminalpolitik,"09338012,09338012",
Deutsche Verkehrsteuer-Rundschau,03418766,DVR
Schriftenreihe zum Stiftungswesen,"03438309,03438309",
Arbeitssicherheit,01706713,
Berliner Mietspiegel ...,"25131702,25131702",
"Verhandlungen des Deutschen Juristentages, Band 1, Gutachten",27015394,Gutachten
