issn,Gold,Wikipedia,Internet,ZDB,abbr
03413551,,,,1538,
16127021,24,,238,,JURA
25096230,,,,1179,
22960074,,,,1160,
0341079X,,,,372,
29418879,,,553,,ZfP
16193741,,,573,,ZVI
07236123,,,,218,
00341398,,,381,,RT
14347261,,,406,271,"SR-A, SR"
03769461,,,,7,
04173120,,,,14,
18612652,,,,1234,
01722352,,,,681,
26991969,,,365,,RdZ
25099159,,,,173,
00163570,22,,,,
16117050,,,,1426,
04214714,,,,394,
1430872X,,,,658,
01719610,,,193,,HSGZ
23667125,,,483,,ZChinR
21941998,,,,714,
16124081,,,,1442,
09411674,,,,521,
18660371,,,,1611,
18635199,,,,916,
09480218,,110,458,,WissR
00039454,,,26,,UFITA
16189574,,,206,663,IIC
14393409,,,,505,
01734369,,,,1082,
23653442,,,,1106,
21959617,,,374,213,Rg
23653493,,,,604,
04828771,,,,125,
09435085,,,,1015,
04337158,,,,1577,
23668334,,,,1475,
27023389,,,,1125,
2942321X,,,230,,JEIH
14228181,,,,1328,
01755366,,,,782,
09356746,,,,1387,
16173759,,,250,,KommP spezial
18643310,,,,682,
01731599,,,408,557,SteuerStud
