*nodes
Id;Label;Type
504;Sebastian Omlor;author
505;Johanna Croon-Gestefeld;author
506;Axel Tschentscher;author
507;Peter Popp;author
508;Roger Masterman;author
509;Georg Küpper;author
510;Christopher Schoenfleisch;author
511;Marco Hößlein;author
512;Anatol Dutta;author
513;Bernhard W. Wegener;author
514;Gernot Sydow;author
515;Björn Laukemann;author
516;Gabriele Britz;author
517;Ulrich Weber;author
518;Jan Oster;author
519;Peter Hilpold;author
520;Peter Unruh;author
521;Klaus Sieveking;author
522;Dagmar Felix;author
523;Stefan Korioth;author
524;Koenraad Lenaerts;author
525;Michael Kubiciel;author
526;Trutz M. Harder;author
527;Peter Unruh;author
528;Thilo Marauhn;author
529;Mario Stanke;author
530;Georg Neureither;author
531;Christoph Barthe;author
532;Armin Engländer;author
533;Stefanie Hromek;author
534;Jürgen Kühling;author
535;Martin Asholt;author
536;O.-L. Forel;author
537;Angie Genenger;author
538;Klaus Kröger;author
539;Stephan Balthasar;author
540;Anna-Lena Hollo;author
541;Andreas F. Lehner;author
542;Axel Beater;author
543;Marion Albers;author
544;Bettina Heiderhoff;author
545;Hanbyul Jung;author
546;Joachim Vogel;author
547;Jochen Hoffmann;author
548;Dietmar von der Pfordten;author
549;Alexander Bruns;author
550;Thomas Groß;author
551;Sandro Wiggerich;author
552;Christian Traulsen;author
553;Gebhard M. Rehm;author
554;Judith Froese;author
555;Martin Schmidt-Kessel;author
556;Gabriele Britz;author
557;Maria Bröcker;author
558;Nils Pelzer;author
559;Horst-Peter Götting;author
560;Matthias Pendl;author
561;Moritz Vormbaum;author
562;Peter-Christian Müller-Graff;author
563;Dieter Birk;author
564;Johannes Eichenhofer;author
565;Stefan Korch;author
566;Friedrich-Christian Schroeder;author
567;Nina Dethloff;author
568;Detlev W. Belling;author
569;Andreas von Arnauld;author
570;Maja Caroline Lehmann;author
571;Jörg Scheinfeld;author
572;Philipp Bender;author
573;David Markworth;author
574;Christine Godt;author
575;Sabine Swoboda;author
576;Roland Bornemann;author
577;Werner Heun;author
578;Juliane Kokott;author
579;Hartmut Bauer;author
580;Christian Nierhauve;author
581;Stefan Thomas;author
582;Reinmar Wolff;author
583;Christian Peter Hille;author
584;Claus Roxin;author
585;Björn Harich;author
586;Bernd Mertens;author
587;Gerd Roellecke;author
588;Jeremy Stevens;author
589;Christoph Möllers;author
590;Marlene Schmidt;author
591;Hans-Georg Bollweg;author
592;Wilfried Erbguth;author
593;S. Martens;author
594;Florian Loyal;author
595;Hans-Joachim Priester;author
596;Christoph Wendelstein;author
597;Thomas Dreier;author
598;Dominik Rennert;author
599;Michael Haimerl;author
600;Hannes Unberath;author
601;Peter W. Heermann;author
602;David Kästle-Lamparter;author
603;Markus Kaltenborn;author
604;Scarlett Jansen;author
605;Sebastian J. Golla;author
606;Frank Meyer;author
607;Malte-Christian Gruber;author
608;Thomas Raff;author
609;Inge Scherer;author
610;Robert Freitag;author
611;Pia Lange;author
612;Monika Frommel;author
613;Karlheinz Muscheler;author
614;Stephan Dorn;author
615;Hans Joachim Hirsch;author
616;Claus Luttermann;author
617;Eva Inés Obergfell;author
618;Matthias Friehe;author
619;Franz-Christoph Zeitler;author
620;Utz Schliesky;author
621;Henning Radtke;author
622;Clemens Bogedain;author
623;Eric S. Armbrecht;author
624;Michael Klöepfer;author
625;Daniel-Erasmus Khan;author
626;Christian Brand;author
627;Tanja Niedernhuber;author
628;Michael Stolleis;author
629;Harm Peter Westermann;author
630;Claudia Bittner;author
631;Torsten Kindt;author
632;Ferdinand Weber;author
633;Karl Christian Vedder;author
634;Georg Caspers;author
635;Hanns Prütting;author
636;Angie Schneider;author
637;Christopher Selke;author
638;Dan Bastian Trapp;author
639;Martin Henßler;author
640;Dan Wielsch;author
641;Ralf Peter Anders;author
642;Peter Krebs;author
643;Gerhard Wagner;author
644;Dominik König;author
645;Georg Nolte;author
646;Kai Ambos;author
647;Michael Heese;author
648;Stefan Storr;author
649;Ulrich Sieber;author
650;Boris Burghardt;author
651;Katharina Leusch;author
652;Matthias Rossi;author
653;Hans Alexy;author
654;Christoph Lachner;author
655;Hermann-Wilfried Bayer;author
656;Marinus J. Stehmeier;author
657;Sebastian Omlor;author
658;Thomas Hoeren;author
659;Carsten Herresthal;author
660;Klaas Hendrik Eller;author
661;Wolfgang Kaiser;author
662;Ingo Saenger;author
663;Sebastian A.E. Martens;author
664;Alica Mohnert;author
665;Marcus Jurij Vogt;author
666;Mario Martini;author
667;Susanna Roßbach;author
668;Christoph Grabenwarter;author
669;Igor Sorge;author
